Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta,IsAutoShifting,LastManualShiftTime,SteerDirection,IsStopped
39,1746968336.0452378,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.202,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
40,1746968336.0611527,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.182,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
41,1746968336.0819461,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.162,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
42,1746968336.1012828,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.142,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
43,1746968336.1184652,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.122,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
44,1746968336.1393385,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.102,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
45,1746968336.1616714,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.082,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
46,1746968336.1811182,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.062,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
47,1746968336.2018414,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.042,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
48,1746968336.2187788,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.022,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
49,1746968336.2608843,0.021515,0.211392,-0.0623429,0.343068,0.0123565,1047.2,0,0.018,2952.63,0.000244141,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
50,1746968336.282895,0.0645475,0.280669,-0.0408981,0.343157,0.012653,1047.2,1,0.038,2952.63,0.000488281,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
51,1746968336.302124,-0.0166296,0.406558,-0.0318669,0.343286,0.0129034,1047.2,1,0.058,2952.63,0.000976563,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
52,1746968336.3212113,0.061035,0.534529,-0.0312476,0.343461,0.0129906,1047.2,1,0.078,2952.63,0.00146484,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
53,1746968336.3391407,-0.0193331,0.667965,-0.042339,0.343686,0.0129353,1047.2,1,0.098,2952.63,0.00170898,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
54,1746968336.359402,0.0528289,0.793677,-0.0669225,0.343958,0.0127255,1047.2,1,0.118,2952.63,0.00219727,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
55,1746968336.3826413,-0.0243795,0.928688,-0.0961952,0.34428,0.0123703,1047.2,1,0.138,2952.63,0.00268555,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
56,1746968336.3988514,0.0473922,1.03343,-0.133531,0.344645,0.0118381,1047.2,1,0.158,2952.63,0.00317383,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
57,1746968336.4203215,-0.0275923,1.13228,-0.175769,0.345048,0.0110604,1047.2,1,0.178,2952.64,0.00341797,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
58,1746968336.4391224,0.0623126,1.20298,-0.221824,0.345485,0.0100581,1047.2,1,0.198,2952.64,0.00390625,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
59,1746968336.4607952,0.00478705,1.22658,-0.263194,0.345932,0.00859564,1047.2,1,0.218,2952.64,0.00415039,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
60,1746968336.480531,0.00399435,1.22856,-0.3014,0.346387,0.00678128,1047.2,1,0.238,2952.64,0.00439453,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
61,1746968336.5008118,0.0834233,1.18742,-0.336742,0.346878,0.00437706,1047.2,1,0.26,2952.64,0.00463867,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
62,1746968336.5229776,0.100661,1.11593,-0.357412,0.347304,0.00177449,1047.2,1,0.28,2952.64,0.00512695,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
63,1746968336.5424366,0.0394375,1.03509,-0.372386,0.347701,-0.0010522,1047.2,1,0.3,2952.64,0.00537109,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
64,1746968336.561721,0.0323694,1.00367,-0.374213,0.348077,-0.00400812,1047.2,1,0.32,2952.64,0.00585938,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
65,1746968336.5818803,0.117425,0.99668,-0.375018,0.348447,-0.00706226,1047.2,1,0.34,2952.64,0.00610352,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
66,1746968336.602155,0.0239751,0.987164,-0.362769,0.348813,-0.0102347,1047.2,1,0.36,2952.64,0.00634766,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
67,1746968336.6215174,0.0696641,0.972217,-0.350833,0.349176,-0.013336,1047.2,1,0.38,2952.64,0.00683594,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
68,1746968336.641063,0.102147,0.967265,-0.33498,0.349535,-0.0163463,1047.2,1,0.4,2952.64,0.00708008,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
69,1746968336.6615922,0.0648008,0.95686,-0.309327,0.349891,-0.0194381,1047.2,1,0.42,2952.64,0.00732422,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
70,1746968336.680911,0.0587006,0.939997,-0.295133,0.350245,-0.0224212,1047.2,1,0.44,2952.64,0.0078125,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
71,1746968336.7021124,0.15327,0.934752,-0.288974,0.350594,-0.0253041,1047.2,1,0.46,2952.64,0.00830078,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
72,1746968336.7207355,0.0499848,0.934548,-0.271289,0.350939,-0.0282338,1047.2,1,0.48,2952.64,0.00854492,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
73,1746968336.7429383,0.0902822,0.942225,-0.25266,0.351321,-0.0314754,1047.2,1,0.502,2952.64,0.0090332,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
74,1746968336.766671,0.131043,0.939744,-0.243677,0.351672,-0.0343812,1047.2,1,0.522,2952.64,0.00952148,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
75,1746968336.7839012,0.158615,0.94625,-0.239317,0.352024,-0.0373791,1047.2,1,0.542,2952.64,0.0100098,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
76,1746968336.8033347,0.0737923,0.957188,-0.228937,0.352378,-0.040397,1047.2,1,0.562,2952.64,0.010498,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
77,1746968336.825194,0.199713,0.959286,-0.228996,0.352735,-0.0433992,1047.2,1,0.582,2952.64,0.0112305,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
78,1746968336.8448684,0.146104,0.962064,-0.2284,0.353093,-0.0464128,1047.2,1,0.602,2952.64,0.0117188,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
79,1746968336.8663986,0.150356,0.969498,-0.227804,0.353454,-0.0495155,1047.2,1,0.622,2952.64,0.0124512,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
80,1746968336.8834562,0.191001,0.963625,-0.228598,0.353815,-0.0524929,1047.2,1,0.642,2952.64,0.0131836,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
81,1746968336.9030113,0.218531,0.96866,-0.231676,0.354176,-0.0555127,1047.2,1,0.662,2952.65,0.013916,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
82,1746968336.925198,0.145211,0.971564,-0.236074,0.354538,-0.0585497,1047.2,1,0.682,2952.65,0.0146484,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
83,1746968336.942518,0.266622,0.970249,-0.237167,0.354902,-0.0615342,1047.2,1,0.702,2952.65,0.015625,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
84,1746968336.9630902,0.227891,0.983308,-0.24502,0.355268,-0.0645579,1047.2,1,0.722,2952.65,0.0163574,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
85,1746968336.9844446,0.218977,0.991554,-0.24778,0.355638,-0.067642,1047.2,1,0.742,2952.65,0.017334,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
86,1746968337.007276,0.282867,0.989644,-0.251138,0.35601,-0.0706304,1047.2,1,0.762,2952.65,0.0183105,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
87,1746968337.0243142,0.309793,0.983478,-0.260102,0.356385,-0.0736864,1047.2,1,0.782,2952.65,0.0195313,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
88,1746968337.0466282,0.234262,0.999495,-0.267162,0.356758,-0.0766638,1047.2,1,0.802,2952.65,0.0205078,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
89,1746968337.0643733,0.364287,1.00332,-0.270386,0.357136,-0.079625,1047.2,1,0.822,2952.65,0.0219727,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
90,1746968337.0831625,0.315937,1.01392,-0.274576,0.357518,-0.0825818,1047.2,1,0.842,2952.65,0.0231934,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
91,1746968337.1025178,0.324696,1.03253,-0.281616,0.357906,-0.085614,1047.2,1,0.862,2952.66,0.0246582,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
92,1746968337.125687,0.38368,1.03255,-0.280303,0.358298,-0.0885299,1047.2,1,0.882,2952.66,0.026123,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
93,1746968337.1446848,0.41564,1.03757,-0.286098,0.358694,-0.0914763,1047.2,1,0.902,2952.66,0.0275879,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
94,1746968337.1646724,0.34446,1.05268,-0.292088,0.359093,-0.0944179,1047.2,1,0.922,2952.66,0.0292969,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
95,1746968337.1858113,0.475386,1.04252,-0.290651,0.359494,-0.0973175,1047.2,1,0.942,2952.66,0.0310059,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
96,1746968337.2053154,0.442883,1.02688,-0.29801,0.35989,-0.100161,1047.2,1,0.962,2952.66,0.0327148,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
97,1746968337.2261825,0.43757,1.01929,-0.301378,0.360283,-0.103049,1047.2,1,0.982,2952.67,0.034668,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
98,1746968337.2475967,0.495373,0.984233,-0.295205,0.36071,-0.106117,1047.2,1,1.004,2952.67,0.0371094,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
99,1746968337.2653801,0.541092,0.973825,-0.295447,0.361092,-0.108847,1047.2,1,1.024,2952.67,0.0393066,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
100,1746968337.2867603,0.51996,0.939394,-0.29242,0.361463,-0.111599,1047.2,1,1.044,2952.67,0.0415039,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
101,1746968337.3063133,0.529801,0.897596,-0.290816,0.361825,-0.114256,1047.2,1,1.064,2952.68,0.0441895,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
102,1746968337.327496,0.644396,0.854412,-0.279711,0.362171,-0.116748,1047.2,1,1.084,2952.68,0.0466309,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
103,1746968337.347411,0.561473,0.771942,-0.268426,0.362495,-0.119102,1047.2,1,1.104,2952.68,0.0493164,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
104,1746968337.3657277,0.64446,0.656734,-0.252828,0.362784,-0.120943,1047.2,1,1.124,2952.68,0.0522461,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
105,1746968337.3869162,0.670669,0.523897,-0.230815,0.363022,-0.122274,1047.2,1,1.144,2952.69,0.0551758,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
106,1746968337.4062185,0.654863,0.465862,-0.205727,0.363231,-0.123372,1047.2,1,1.164,2952.69,0.0585938,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
107,1746968337.425477,0.674027,0.434459,-0.179732,0.363427,-0.124337,1047.2,1,1.184,2952.69,0.0620117,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
108,1746968337.4462986,0.782842,0.404899,-0.158974,0.363613,-0.125246,1047.2,1,1.204,2952.7,0.0656738,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
109,1746968337.4676375,0.677927,0.375512,-0.13702,0.36379,-0.126068,1047.2,1,1.224,2952.7,0.0693359,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
110,1746968337.4874341,0.780246,0.358802,-0.111476,0.363961,-0.126779,1047.2,1,1.244,2952.71,0.0734863,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
111,1746968337.5064538,0.802015,0.344534,-0.101987,0.364125,-0.127471,1047.2,1,1.264,2952.71,0.0773926,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
112,1746968337.5263107,0.787211,0.328647,-0.0856501,0.364285,-0.12814,1047.2,1,1.284,2952.71,0.081543,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
113,1746968337.545515,0.802235,0.322112,-0.0783383,0.364443,-0.128713,1047.2,1,1.304,2952.72,0.0859375,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
114,1746968337.5673702,0.910915,0.311106,-0.0755376,0.364599,-0.129316,1047.2,1,1.324,2952.72,0.0900879,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
115,1746968337.5874763,0.814368,0.296546,-0.0703231,0.364753,-0.129909,1047.2,1,1.344,2952.73,0.0947266,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
116,1746968337.6079485,0.910544,0.299307,-0.0656043,0.364905,-0.130466,1047.2,1,1.364,2952.73,0.0993652,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
117,1746968337.6273415,0.935274,0.296621,-0.0715137,0.365058,-0.131026,1047.2,1,1.384,2952.74,0.104248,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
118,1746968337.646822,0.92325,0.293858,-0.0742446,0.36521,-0.13159,1047.2,1,1.404,2952.74,0.109131,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
119,1746968337.6673,0.926172,0.273341,-0.0710859,0.365361,-0.132158,1047.2,1,1.424,2952.75,0.114014,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
120,1746968337.6873298,1.0257,0.291422,-0.0811819,0.365513,-0.132708,1047.2,1,1.444,2952.75,0.119385,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
